"TABLE_NAME","CONSTRAINT_NAME","COLUMN_NAME","R_TABLE_NAME","FOREIGN_COL"
"P2VEG_SUBPLOT_SPP","P2VSSP_PLT_FK","PLT_CN","PLOT","CN"
"SDS_SITETREE","SDS_SITETREE_SIT_CN_FK","SIT_CN","SITETREE","CN"
"TREE_GRM_COMPONENT","TRE_GRM_CMP_FK","TRE_CN","TREE","CN"
"SUBPLOT","SBP_CND_FK2","MICRCOND","COND","CONDID"
"P2VEG_SUBP_STRUCTURE","P2VSS_SCD_FK","PLT_CN","SUBP_COND","PLT_CN"
"P2VEG_SUBP_STRUCTURE","P2VSS_PLT_FK","PLT_CN","PLOT","CN"
"PLOTGEOM","PLOTGEOM_PLT_FK","CN","PLOT","CN"
"SUBP_SOIL_SAMPLE_LAYER","SSSLYR_FK","PLT_CN","PLOT","CN"
"POP_EVAL","PEV_PEG_FK","EVAL_GRP_CN","POP_EVAL_GRP","CN"
"POP_PLOT_STRATUM_ASSGN","PPSA_PLT_FK","PLT_CN","PLOT","CN"
"POP_ESTN_UNIT","PEU_PEV_FK","EVAL_CN","POP_EVAL","CN"
"POP_EVAL_ATTRIBUTE","PEA_PEV_FK","EVAL_CN","POP_EVAL","CN"
"SUBPLOT","SBP_CND_FK","SUBPCOND","COND","CONDID"
"VEG_QUADRAT","VQT_VSB_FK","VSB_CN","VEG_SUBPLOT","CN"
"PLOT","PLT_SRV_FK","SRV_CN","SURVEY","CN"
"INVASIVE_SUBPLOT_SPP","ISS_SCD_FK","CONDID","SUBP_COND","CONDID"
"SUBP_COND_CHNG_MTRX","CMX_PLT_FK2","PLT_CN","PLOT","CN"
"VEG_VISIT","VVT_PLT_FK","PLT_CN","PLOT","CN"
"SUBP_COND","SCD_SBP_FK","SUBP","SUBPLOT","SUBP"
"POP_EVAL_TYP","PET_PEG_FK","EVAL_GRP_CN","POP_EVAL_GRP","CN"
"TREE_GRM_ESTN","TGE_TRE_FK","TRE_CN","TREE","CN"
"LICHEN_PLOT_SUMMARY","LPS_PLT_FK","PLT_CN","PLOT","CN"
"SDS_COND","SDS_CND_FK","CND_CN","COND","CN"
