"TABLE_NAME","INDEX_NAME","COLUMN_NAME","UNIQUENESS","CONSTRAINT_TYPE"
"OZONE_BIOSITE_SUMMARY","OBS_PK","CN","UNIQUE","P"
"REF_CONGCD","RCNG_UK","STATECD","UNIQUE","U"
"REF_GRND_LYR","REFGLYR_PK","CN","UNIQUE","P"
"SOILS_VISIT","SVT_PK","CN","UNIQUE","P"
"SOILS_EROSION","SEN_NAT_I","PLOT","NONUNIQUE",NA
"GRND_LYR_FNCTL_GRP","FGLFGP_UK2","PLOT","UNIQUE","U"
"TREE","TRE_NAT_I","COUNTYCD","NONUNIQUE",NA
"POP_EVAL_ATTRIBUTE","PEA_UK","EVAL_CN","UNIQUE","U"
"LICHEN_PLOT_SUMMARY","LPS_NAT_I","PLOT","NONUNIQUE",NA
"COND","CND_NAT_I","STATECD","NONUNIQUE",NA
"DWM_FINE_WOODY_DEBRIS","DFW_PK","CN","UNIQUE","P"
"PLOT","PLT_UK","PLOT","UNIQUE","U"
