"TABLE_NAME","INDEX_NAME","COLUMN_NAME","UNIQUENESS","CONSTRAINT_TYPE"
"PLOTGEOM","PLOTGEOM_IDX","INVYR","NONUNIQUE",NA
"TAXA_COMMON_NAME","TXCN_UK","RETIRED_DATE","UNIQUE","U"
"POP_EVAL","PEV_PK","CN","UNIQUE","P"
"STG_TAXA_COMMON_NAME","STGTXCN_UK","STGTX_CN","UNIQUE","U"
"STG_TAXA_COMMON_NAME","STGTXCN_UK2","STGTX_CN","UNIQUE","U"
"REF_NVCS_LEVEL_8_CODES","RNVCSHS8_UK","NVCS_CODE","UNIQUE","U"
"SDS_BOUNDARY","SDS_BND_NAT_I","AZMRIGHT","NONUNIQUE",NA
"GRND_LYR_MICROQUAD","FGLMP_UK2","INV_VST_NBR","UNIQUE","U"
"P2VEG_SUBP_STRUCTURE","P2VSS_UK","CONDID","UNIQUE","U"
"OZONE_PLOT","NOP_UK","COUNTYCD","UNIQUE","U"
"REF_STD_NORM_DIST","REF_SND_PK","Z_SCORE","UNIQUE","P"
"REF_RESERVED_AREA_NAME","RRAN_UK","RESERVED_AREA_NAME","UNIQUE","U"
"OZONE_VALIDATION","OVN_NAT_I","STATECD","NONUNIQUE",NA
"POP_EVAL","PEV_UK","RSCD","UNIQUE","U"
"DATAMART_TABLES","DATAMART_TBLS_PK","TABLE_NAME","UNIQUE","P"
"EVALIDATOR_COUNTY_ESTIMATES","ECTYEST_ST_I","STATECD","NONUNIQUE",NA
"SITETREE","SIT_PLT_FK_I","PLT_CN","NONUNIQUE",NA
"SURVEY","SRV_UK","INVYR","UNIQUE","U"
"OZONE_PLOT","NOP_PK","CN","UNIQUE","P"
"REF_RESERVED_AREA_NAME","RRAN_TRRANSC_FK","TRRANSC_CN","NONUNIQUE",NA
"LICHEN_PLOT_SUMMARY","LPS_NAT_I","INVYR","NONUNIQUE",NA
"LICHEN_SPECIES_SUMMARY","LSY_UK","LICHEN_REGION","UNIQUE","U"
"TREE_WOODLAND_STEMS","WOODS_UK2","SUBP","UNIQUE","U"
"STG_TAXA_PROPERTIES","STGTXP_UK","TX_CN","UNIQUE","U"
"POP_EVAL_TYP","PET_UK2","EVAL_TYP","UNIQUE","U"
"VEG_QUADRAT","VQT_UK","QUADRAT","UNIQUE","U"
"LICHEN_LAB","LCH_PK","CN","UNIQUE","P"
"OZONE_VISIT","OVT_NAT_I","O3PLOT","NONUNIQUE",NA
"TAXA_FIA_TREE_LIST_EXCLUSION","TFTLE_UK","TFTLA_CN","UNIQUE","U"
"DWM_MICROPLOT_FUEL","DMF_UK","PLT_CN","UNIQUE","U"
"EVALIDATOR_COUNTY_ESTIMATES","ECTYEST_PK","EVAL_GRP","UNIQUE","P"
"OZONE_PLOT","NOP_UK","SPLIT_PLOTID","UNIQUE","U"
"REF_HABTYP_DESCRIPTION","RHN_PK","CN","UNIQUE","P"
"SUBPLOT_REGEN","SBPREGEN_UK","SUBP","UNIQUE","U"
"POP_STRATUM","POP_STRATUM_EVALID_RSCD","EVALID","NONUNIQUE",NA
"REF_PLANT_DICTIONARY","RPD_PK","CN","UNIQUE","P"
"LICHEN_LAB","LCH_NAT_I","INVYR","NONUNIQUE",NA
"OZONE_PLOT","NOP_UK","O3PLOT","UNIQUE","U"
"LICHEN_VISIT","LVT_NAT_I","STATECD","NONUNIQUE",NA
"REF_RESEARCH_STATION","RES_PK","STATECD","UNIQUE","P"
"SUBPLOT","SBP_NAT_I","INVYR","NONUNIQUE",NA
"SDS_BOUNDARY","SDS_BND_NAT_I","COUNTYCD","NONUNIQUE",NA
"TAXA_REGIONAL_TREE_LIST","TRTL_PK","CN","UNIQUE","P"
"TREE_WOODLAND_STEMS","WOODS_UK2","STEM_NBR","UNIQUE","U"
"STG_TAXA","STGTX_SYMBOL_UK","STGRSB_CN","UNIQUE",NA
"REF_CROWN_WIDTH_COEF_GROUPS","RCWCG_PK","GROUP_CODE","UNIQUE","P"
"PLOT","PLT_SRV_FK_I","SRV_CN","NONUNIQUE",NA
"TAXA_FIA_INVASIVE_LIST","TFIL_UK","LIST_NAME","UNIQUE","U"
"COND_DWM_CALC","CDC_UK","EVALID","UNIQUE","U"
"SEEDLING","SDL_UK","CONDID","UNIQUE","U"
"GRND_LYR_FNCTL_GRP","FGLFGP_UK","SUBP","UNIQUE","U"
"REF_MEANS_CULLBF_SWHW_NERS","RMCLLSWN_UK","HWSW","UNIQUE","U"
"VEG_QUADRAT","VQT_UK2","VSB_CN","UNIQUE","U"
"POP_EVAL_TYP","PET_UK1","EVAL_GRP_CN","UNIQUE","U"
"LICHEN_LAB","LCH_NAT_I","STATECD","NONUNIQUE",NA
"SUBP_COND","SCD_PK","CN","UNIQUE","P"
"TAXA_FIA_SITETREE_LIST","TFSL_UK","LIST_VERSION","UNIQUE","U"
"SITETREE","SIT_PK","CN","UNIQUE","P"
"REF_COEF_TAPER_SRS","REFCOEFTPRSRS_UK","SPECIES_CODE","UNIQUE","U"
"GRND_LYR_FNCTL_GRP","FGLFGP_UK3","COUNTYCD","UNIQUE","U"
"TREE","TRE_PK","CN","UNIQUE","P"
"COND_DWM_CALC","CDC_UK","RSCD","UNIQUE","U"
"VEG_SUBPLOT_SPP","VSS_UK","VPS_CN","UNIQUE","U"
"LICHEN_LAB","LCH_NAT_I","PLOT","NONUNIQUE",NA
"EVALIDATOR_VARIABLE_LIBRARY","EVL_PK","LABEL_VAR","UNIQUE","P"
"DWM_RESIDUAL_PILE","DRP_NAT_I","COUNTYCD","NONUNIQUE",NA
"DWM_MICROPLOT_FUEL","DMF_NAT_I","SUBP","NONUNIQUE",NA
"REF_NVCS_LEVEL_8_CODES","RNVCSHS8_PK","CN","UNIQUE","P"
"SDS_BOUNDARY","SDS_BND_UK","SUBPTYP","UNIQUE","U"
"SEEDLING_REGEN","SDLREGEN_UK","SPCD","UNIQUE","U"
"PLOT_REGEN","PLTREGEN_UK1","PLOT","UNIQUE","U"
"GRND_LYR_MICROQUAD","FGLMP_UK2","STATECD","UNIQUE","U"
"SUBP_COND","SCD_SBP_FK_I","PLT_CN","NONUNIQUE",NA
"REF_NVCS_LEVEL_6_CODES","RNVCSHS6_UK","NVCS_CODE","UNIQUE","U"
"STG_TAXA_COMMON_NAME","STGTXCN_UK2","TX_CN","UNIQUE","U"
"PROJECT","PRJ_UK","NAME","UNIQUE","U"
"TYP_RRAN_STATUS_CODE","TRRANSC_UK","CODE","UNIQUE","U"
"VEG_PLOT_SPECIES","VPS_NAT_I","COUNTYCD","NONUNIQUE",NA
"STG_TAXA_PROPERTIES","STGTXP_UK","STGRSB_CN","UNIQUE","U"
"STG_TAXA","STGTX_UK","SECOND_HYBRID_PARENT_CN","UNIQUE","U"
"SDS_BOUNDARY","SDS_BND_UK","CONTRAST","UNIQUE","U"
"TREE_WOODLAND_STEMS","WOODS_PK","CN","UNIQUE","P"
"SUBPLOT_REGEN","SBPREGEN_SBP_FK_I","SBP_CN","NONUNIQUE",NA
"POP_ESTN_UNIT","PEU_PK","CN","UNIQUE","P"
"REF_FVS_LOC_NAME","RFLN_PK","FVS_LOC_CD","UNIQUE","P"
"TREE_GRM_ESTN","TGE_UK","ESTN_TYPE","UNIQUE","U"
"SEEDLING_REGEN","SDLREGEN_UK","INVYR","UNIQUE","U"
"PLOTGEOM","PLOTGEOM_IDX","COUNTYCD","NONUNIQUE",NA
"TYP_LIST_TYPE","TLT_UK","LIST_TYPE","UNIQUE","U"
"SDS_BOUNDARY","SDS_BND_NAT_I","AZMLEFT","NONUNIQUE",NA
"REF_UNIT","UNT_PK","VALUE","UNIQUE","P"
"REF_ADMINISTRATIVE_FOREST","RAF_NAME_I","NAME","NONUNIQUE",NA
"TAXA_FIA_INVASIVE_LIST","TFIL_PK","CN","UNIQUE","P"
"COND","CND_UK","PLT_CN","UNIQUE","U"
"INVASIVE_SUBPLOT_SPP","ISS_UK","UNIQUE_SP_NBR","UNIQUE","U"
"VEG_PLOT_SPECIES","VPS_NAT_I","VEG_FLDSPCD","NONUNIQUE",NA
"P2VEG_SUBP_STRUCTURE","P2VSS_UK3","SUBP","UNIQUE","U"
"SUBP_COND_CHNG_MTRX","CMX_UK","SUBP","UNIQUE","U"
"PLOT_REGEN","PLTREGEN_PLT_FK_I","PLT_CN","NONUNIQUE",NA
"GRND_LYR_FNCTL_GRP","FGLFGP_UK2","TRANSECT","UNIQUE","U"
"REF_INTL_TO_DOYLE_FACTOR","RIDF_PK","SOFTWOOD","UNIQUE","P"
"SOILS_SAMPLE_LOC","SSL_NAT_I","INVYR","NONUNIQUE",NA
"DWM_RESIDUAL_PILE","DRP_UK","PILE","UNIQUE","U"
"SDS_BOUNDARY","SDS_BND_UK","PLT_CN","UNIQUE","U"
"REF_RESERVED_AREA_NAME_ABBR","RRANABBR_UK","NAME","UNIQUE","U"
"REF_MEANS_CULLBF_SWHW_NERS","RMCLLSWN_PK","CN","UNIQUE","P"
"REF_MEANS_CULLBF_SPPGRP_NERS","RMCLLSPPN_UK","STATUSCD","UNIQUE","U"
"GRND_LYR_FNCTL_GRP","FGLFGP_UK3","MICROQUAD","UNIQUE","U"
"OZONE_SPECIES_SUMMARY","OSY_UK","BIOSPCD","UNIQUE","U"
"REF_HABTYP_DESCRIPTION","RHN_UK","HABTYPCD","UNIQUE","U"
"DWM_FINE_WOODY_DEBRIS","DFW_NAT_I","PLOT","NONUNIQUE",NA
"P2VEG_SUBP_STRUCTURE","P2VSS_UK2","PLOT","UNIQUE","U"
"TAXA_COMMON_NAME","TXCN_PK","CN","UNIQUE","P"
"SEEDLING_REGEN","SDLREGEN_UK","LENGTH_CLASS_CD","UNIQUE","U"
"DWM_FINE_WOODY_DEBRIS","DFW_NAT_I","TRANSECT","NONUNIQUE",NA
"DWM_RESIDUAL_PILE","DRP_NAT_I","STATECD","NONUNIQUE",NA
"COND_DWM_CALC","CDC_UK3","STATECD","UNIQUE","U"
"TAXA_DICTIONARY","TXD_UK","SYMBOL_TYPE","UNIQUE","U"
"DWM_RESIDUAL_PILE","DRP_NAT_I","INVYR","NONUNIQUE",NA
"LICHEN_SPECIES_SUMMARY","LSY_UK","LICH_SPPCD","UNIQUE","U"
"TAXA_REGIONAL_TREE_LIST_ASSGN","TRTLA_UK","TRTL_CN","UNIQUE","U"
"VEG_QUADRAT","VQT_NAT_I","SUBP","NONUNIQUE",NA
"SUBP_COND","SCD_NAT_I","UNITCD","NONUNIQUE",NA
"STG_REF_SPECIES_BATCH","STGRSB_PK","CN","UNIQUE","P"
"REF_PLANT_DICTIONARY","RPD_UK","SYMBOL","UNIQUE","U"
"TREE","TREE_PREV_IDX1","CONDID","NONUNIQUE",NA
"COND_DWM_CALC","CDC_PLT_FK_I","PLT_CN","NONUNIQUE",NA
"POP_PLOT_STRATUM_ASSGN","PPSA_PSM_FK_I","STRATUM_CN","NONUNIQUE",NA
"OZONE_VALIDATION","OVN_NAT_I","O3PLOT","NONUNIQUE",NA
"TAXA","TX_UK","PARENT_CN","UNIQUE","U"
"EVALIDATOR_STATE_ESTIMATES","ESTEST_ST_I","STATECD","NONUNIQUE",NA
"REF_PLANT_DICTIONARY","RPD_SCI_NAME_I","SCIENTIFIC_NAME","NONUNIQUE",NA
"TAXA_DICTIONARY","TXD_UK","SYMBOL","UNIQUE","U"
"TAXA_REGIONAL_TREE_LIST","TRTL_UK","LIST_VERSION","UNIQUE","U"
"SOILS_LAB","SLB_SMPLNNBR_I","PLOT","UNIQUE",NA
"STG_TAXA_COMMON_NAME","STGTXCN_UK","PRECEDENCE","UNIQUE","U"
"DWM_DUFF_LITTER_FUEL","DDL_NAT_I","PLOT","NONUNIQUE",NA
"TREE","TREE_PREV_IDX1","PREV_TRE_CN","NONUNIQUE",NA
"OZONE_VISIT","OVT_NAT_I","INVYR","NONUNIQUE",NA
"REF_ADMINISTRATIVE_FOREST","RAF_PK_I","CN","UNIQUE",NA
"POP_ESTN_UNIT","PEU_PEV_FK_I","EVAL_CN","NONUNIQUE",NA
"TAXA_FIA_TREE_LIST_EXCLUSION","TFTLE_PK","CN","UNIQUE","P"
"TREE_GRM_ESTN","TGE_PLT_FK_I","PLT_CN","NONUNIQUE",NA
"TREE_GRM_ESTN","TGE_STATECD_INVYR_I","INVYR","NONUNIQUE",NA
"COND_DWM_CALC","CDC_UK","CONDID","UNIQUE","U"
"TAXA","TX_UK","FIRST_HYBRID_PARENT_CN","UNIQUE","U"
"P2VEG_SUBP_STRUCTURE","P2VSS_PLT_CN_CONDID","PLT_CN","NONUNIQUE",NA
"SUBPLOT_REGEN","SBPREGEN_UK","PLOT","UNIQUE","U"
"POP_EVAL","PEV_PEG_FK_I","EVAL_GRP_CN","NONUNIQUE",NA
"REF_AVG_PCT_SND_CRM_RT2","RAPSC2_PK","CN","UNIQUE","P"
"SUBP_COND","SCD_UK","CONDID","UNIQUE","U"
"REF_CROWN_WIDTH_COEF_GROUPS","RCWCG_UK","GROUP_NAME","UNIQUE","U"
"EVALIDATOR_COUNTY_ESTIMATES","ECTYEST_PK","ATTRIBUTE_NBR","UNIQUE","P"
"REF_MEANS_BFSND_SPPGRP_NERS","REFMBSPPGRPNERS_UK","TREECLCD","UNIQUE","U"
"SDS_COND","SDS_NAT_I","CONDID","NONUNIQUE",NA
"INVASIVE_SUBPLOT_SPP","ISS_UK","VEG_FLDSPCD","UNIQUE","U"
"PLOT_REGEN","PLTREGEN_UK1","INVYR","UNIQUE","U"
"REF_MEANS_BFSND_SPPGRP_NERS","REFMBSPPGRPNERS_UK","DCLASS","UNIQUE","U"
"ARCHIVE_REF_PLANT_DICT_2010","RPD2_UK","SYMBOL","UNIQUE","U"
"DWM_COARSE_WOODY_DEBRIS","DCW_NAT_I","INVYR","NONUNIQUE",NA
"REF_MEANS_BFSND_SWHW_NERS","REFMBSWHWNERS_UK","HWSW","UNIQUE","U"
"SUBP_COND","SCD_NAT_I","SUBP","NONUNIQUE",NA
"LICHEN_VISIT","LVT_NAT_I","COUNTYCD","NONUNIQUE",NA
"SEEDLING","SDL_NAT_I","CONDID","NONUNIQUE",NA
"GRND_LYR_FNCTL_GRP","FGLFGP_UK3","SUBP","UNIQUE","U"
"TAXA","TX_UK3","FIA_SPECIES_SYMBOL","UNIQUE","U"
"REF_QA_STATUS","RQAS_UK","CODE","UNIQUE","U"
"REF_MEANS_BFSND_SPPGRP_NERS","REFMBSPPGRPNERS_PK","CN","UNIQUE","P"
"SOILS_SAMPLE_LOC","SSL_UK","PLT_CN","UNIQUE","U"
"TREE_GRM_BEGIN","TRE_GRM_BGN_IND1","PLT_CN","NONUNIQUE",NA
"REF_SPECIES_CONFIGURATION","REFSPCFG_UK","TX_CN","UNIQUE","U"
"REF_LICHEN_SPECIES","LNS_PK","CN","UNIQUE","P"
"OZONE_VALIDATION","OVN_NAT_I","INVYR","NONUNIQUE",NA
"COND","CND_NAT_I","CONDID","NONUNIQUE",NA
"SUBP_COND_CHNG_MTRX","CMX_UK","PREVCOND","UNIQUE","U"
"ADMIN_APP_PARAMETER","APARM_PK","CN","UNIQUE","P"
"TAXA_FIA_PILE_SPECIES_LIST","TFPSL_UK","LIST_VERSION","UNIQUE","U"
"DATAMART_TABLES","DATAMART_TBLS_PK","TABLE_TYPE","UNIQUE","P"
"GRND_CVR","GRND_CVR_UK_I","SUBP","NONUNIQUE",NA
"VEG_QUADRAT","VQT_UK2","VVT_CN","UNIQUE","U"
"EVALIDATOR_STATE_ESTIMATES","ESTEST_PK","ATTRIBUTE_NBR","UNIQUE","P"
"VEG_SUBPLOT","VSB_NAT_I","INVYR","NONUNIQUE",NA
"REF_RESERVED_AREA_NAME","RRAN_PK","CN","UNIQUE","P"
"INVASIVE_SUBPLOT_SPP","ISS_PLT_FK_I","PLT_CN","NONUNIQUE",NA
"VEG_QUADRAT","VQT_NAT_I","COUNTYCD","NONUNIQUE",NA
"DWM_TRANSECT_SEGMENT","DTS_NAT_I","SEGMNT","NONUNIQUE",NA
"DWM_TRANSECT_SEGMENT","DTS_UK","SEGMNT","UNIQUE","U"
"TAXA","TX_PK","CN","UNIQUE","P"
"TAXA_FIA_SITETREE_LIST_ASSGN","TFSLA_TX_FK","TX_CN","NONUNIQUE",NA
"VEG_SUBPLOT_SPP","VSS_UK","VVT_CN","UNIQUE","U"
"STG_TAXA_PROPERTIES","STGTXP_UK","STGTX_CN","UNIQUE","U"
"REF_COMMON_NAME","RCN_COUNTRYCD_I","COUNTRYCD","NONUNIQUE",NA
"TAXA_FIA_SITETREE_LIST_ASSGN","TFSLA_PK","CN","UNIQUE","P"
"REF_COMMON_NAME","RCN_SPCD_I","FIA_SPCD","NONUNIQUE",NA
"SOILS_LAB","SLB_SMPLNNBR_I","MEASYEAR","UNIQUE",NA
"VEG_SUBPLOT_SPP","VSS_UK","VSB_CN","UNIQUE","U"
"REF_ADMINISTRATIVE_FOREST","RAF_UK_I","ADFORCD","UNIQUE",NA
"VEG_QUADRAT","VQT_NAT_I","PLOT","NONUNIQUE",NA
"TAXA_REGIONAL_TREE_LIST_ASSGN","TRTLA_TX_FK","TX_CN","NONUNIQUE",NA
"REF_FOREST_TYPE_NIMAC","RFTN_PK","CODE","UNIQUE",NA
"GRND_LYR_MICROQUAD","FGLMP_UK","PLT_CN","UNIQUE","U"
"REF_NVCS_LEVEL_4_CODES","RNVCSHS4_PK","CN","UNIQUE","P"
"TAXA_COMMON_NAME","TXCN_TXGEO_FK","TXGEO_CN","NONUNIQUE",NA
"DWM_RESIDUAL_PILE","DRP_NAT_I","PILE","NONUNIQUE",NA
"TAXA_FIA_TREE_LIST_ASSGN","TFTLA_PK","CN","UNIQUE","P"
"OZONE_PLOT_SUMMARY","OPS_UK","INVYR","UNIQUE","U"
"SEEDLING_REGEN","SDLREGEN_PLT_CND_I","CND_CN","NONUNIQUE",NA
"TAXA","TX_UK","NAME","UNIQUE","U"
"SUBPLOT","SBP_UK","PLT_CN","UNIQUE","U"
"OZONE_SPECIES_SUMMARY","OSY_UK","O3PLOT","UNIQUE","U"
"P2VEG_SUBP_STRUCTURE","P2VSS_UK3","LAYER","UNIQUE","U"
"SUBPLOT","SBP_NAT_I","COUNTYCD","NONUNIQUE",NA
"PLOT","PLOT_PREV_PLT_CN","CN","NONUNIQUE",NA
"GRND_LYR_MICROQUAD","FGLMP_PK","CN","UNIQUE","P"
"SOILS_VISIT","SVT_UK","PLT_CN","UNIQUE","U"
"SITETREE","SIT_NAT_I","PLOT","NONUNIQUE",NA
"FIA_REPORTING_LOG","FRL_PK","CN","UNIQUE","P"
"REF_MEANS_CULLBF_SPPGRP_NERS","RMCLLSPPN_PK","CN","UNIQUE","P"
"DWM_COARSE_WOODY_DEBRIS","DCW_NAT_I","SUBP","NONUNIQUE",NA
"REF_NVCS_LEVEL_8_CODES","RNVCSHS8_UK","PRIMARY_CLASS","UNIQUE","U"
"TREE","TREE_PREV_IDX1","VOLCFSND","NONUNIQUE",NA
"DWM_MICROPLOT_FUEL","DMF_NAT_I","INVYR","NONUNIQUE",NA
"PLOT_REGEN","PLTREGEN_UK2","CYCLE","UNIQUE","U"
"POP_EVAL_TYP","PET_UK1","EVAL_CN","UNIQUE","U"
"REF_TAPER_SPGRP_NERS","REFTSPGRPNERS_UK","SPCD","UNIQUE","U"
"LICHEN_VISIT","LVT_NAT_I","PLOT","NONUNIQUE",NA
"STG_TAXA_PROPERTIES","STGTXP_PK","CN","UNIQUE","P"
"TAXA_FIA_INVASIVE_GEO_NFI","TFIGN_PK","CN","UNIQUE","P"
"DWM_VISIT","DVT_NAT_I","COUNTYCD","NONUNIQUE",NA
"TAXA_RANK","TXR_UK2","TAXA","UNIQUE","U"
"TREE","TRE_PLT_CN_CONDID","PLT_CN","NONUNIQUE",NA
"TREE","TRE_UK","PLT_CN","UNIQUE","U"
"P2VEG_SUBP_STRUCTURE","P2VSS_UK2","CONDID","UNIQUE","U"
"PLOTGEOM","PLOTGEOM_IDX","PLOT","NONUNIQUE",NA
"TAXA_FIA_PILE_SPECIES_LIST","TFPSL_UK","LIST_NAME","UNIQUE","U"
"SEEDLING_REGEN","SDLREGEN_PLT_FK_I","PLT_CN","NONUNIQUE",NA
"REF_NVCS_LEVEL_5_CODES","RNVCSHS5_UK","NVCS_CODE","UNIQUE","U"
"TREE","TRE_PLT_CN_CONDID","CONDID","NONUNIQUE",NA
"GRND_LYR_MICROQUAD","FGLMP_UK3","SUBP","UNIQUE","U"
"SUBPLOT","SBP_UK","SUBP","UNIQUE","U"
"REF_NVCS_LEVEL_6_CODES","RNVCSHS6_UK","PRIMARY_CLASS","UNIQUE","U"
"DWM_COARSE_WOODY_DEBRIS","DCW_UK","PLT_CN","UNIQUE","U"
"REF_FOREST_TYPE","RFT_PK","VALUE","UNIQUE","P"
"SURVEY","SRV_PK","CN","UNIQUE","P"
"P2VEG_SUBPLOT_SPP","P2VSSP_UK","VEG_FLDSPCD","UNIQUE","U"
"REF_SPECIES","RS_SPCD","SPCD","NONUNIQUE",NA
"POP_PLOT_STRATUM_ASSGN","PPSA_UK","PLOT","UNIQUE","U"
"REF_NVCS_LEVEL_6_CODES","RNVCSHS6_PK","CN","UNIQUE","P"
"SEEDLING","SDL_NAT_I","COUNTYCD","NONUNIQUE",NA
"SUBP_COND","SCD_NAT_I","COUNTYCD","NONUNIQUE",NA
"TREE","TRE_NAT_I","STATECD","NONUNIQUE",NA
"REF_RESEARCH_STATION_CODE","RRSC_PK","CN","UNIQUE","P"
