ATTRIBUTE_NBR,ATTRIBUTE_DESCR,EVAL_TYP,NOTES,SQL_QUERY,ACTIVE,GROWTH_ACCT,LAND_BASIS,SQL_QUERY_SE,CREATED_DATE,MODIFIED_DATE
2.0,"Area of forest land, in acres",EXPCURR,,"SELECT 2 ATTRIBUTE_NBR, 'Area of forest land, in acres' ATTRIBUTE_DESCR, SUM((COND.CONDPROP_UNADJ * CASE COND.PROP_BASIS WHEN 'MACR' THEN POP_STRATUM.ADJ_FACTOR_MACR ELSE POP_STRATUM.ADJ_FACTOR_SUBP END) * POP_STRATUM.EXPNS) AS ESTIMATED_VALUE FROM &FIADB_SCHEMA.POP_EVAL_GRP PEG JOIN &FIADB_SCHEMA.POP_EVAL_TYP PET ON (PET.EVAL_GRP_CN = PEG.CN) JOIN &FIADB_SCHEMA.POP_EVAL PEV ON (PEV.CN = PET.EVAL_CN) JOIN &FIADB_SCHEMA.POP_ESTN_UNIT PEU ON (PEV.CN = PEU.EVAL_CN) JOIN &FIADB_SCHEMA.POP_STRATUM POP_STRATUM ON (PEU.CN = POP_STRATUM.ESTN_UNIT_CN) JOIN &FIADB_SCHEMA.POP_PLOT_STRATUM_ASSGN POP_PLOT_STRATUM_ASSGN ON (POP_PLOT_STRATUM_ASSGN.STRATUM_CN = POP_STRATUM.CN) JOIN &FIADB_SCHEMA.PLOT ON (POP_PLOT_STRATUM_ASSGN.PLT_CN = PLOT.CN) JOIN &FIADB_SCHEMA.PLOTGEOM ON (PLOT.CN = PLOTGEOM.CN) JOIN &FIADB_SCHEMA.COND ON (COND.PLT_CN = PLOT.CN) WHERE COND.COND_STATUS_CD = 1 AND COND.CONDPROP_UNADJ IS NOT NULL AND PET.EVAL_TYP = 'EXPCURR' AND PEG.EVAL_GRP = &EVAL_GRP  AND  1=1",Y,,Forest land,"SELECT EVAL_GRP, EVAL_GRP_DESCR,2 ATTRIBUTE_NBR,'Area of forest land, in acres' ATTRIBUTE_DESCR,  COALESCE(CAST(GRP_BY_ATTRIB AS VARCHAR(4000)), 'Not available') GROUP_BY_FIELD, SUM(ESTIMATE_BY_ESTN_UNIT.ESTIMATE) ESTIMATE, CASE WHEN SUM(ESTIMATE_BY_ESTN_UNIT.ESTIMATE) <> 0 THEN ABS(SQRT(SUM(ESTIMATE_BY_ESTN_UNIT.VAR_OF_ESTIMATE)) / SUM(ESTIMATE_BY_ESTN_UNIT.ESTIMATE) * 100) ELSE 0 END AS SE_OF_ESTIMATE_PCT, SQRT(SUM(ESTIMATE_BY_ESTN_UNIT.VAR_OF_ESTIMATE)) SE_OF_ESTIMATE, SUM(ESTIMATE_BY_ESTN_UNIT.VAR_OF_ESTIMATE) VAR_OF_ESTIMATE, SUM(ESTIMATE_BY_ESTN_UNIT.TOTAL_PLOTS) TOTAL_PLOTS, SUM(ESTIMATE_BY_ESTN_UNIT.NON_ZERO_PLOTS) NON_ZERO_PLOTS, SUM(ESTIMATE_BY_ESTN_UNIT.TOT_POP_AREA_ACRES) TOT_POP_AC, Q'[&FILTER]' FILTER, '&JOINS' JOINS FROM (SELECT POP_EVAL_GRP_CN, EVAL_GRP, EVAL_GRP_DESCR, SUM(COALESCE(YSUM_HD, 0) * PHASE_1_SUMMARY.EXPNS) ESTIMATE, PHASE_1_SUMMARY.N TOTAL_PLOTS, SUM(PHASE_SUMMARY.NUMBER_PLOTS_IN_DOMAIN) DOMAIN_PLOTS, SUM(PHASE_SUMMARY.NON_ZERO_PLOTS) NON_ZERO_PLOTS, TOTAL_AREA * TOTAL_AREA / PHASE_1_SUMMARY.N * ((SUM(W_H * PHASE_1_SUMMARY.N_H * (((COALESCE(YSUM_HD_SQR, 0) / PHASE_1_SUMMARY.N_H) - ((COALESCE(YSUM_HD, 0) / PHASE_1_SUMMARY.N_H) * (COALESCE(YSUM_HD, 0) / PHASE_1_SUMMARY.N_H))) / (PHASE_1_SUMMARY.N_H - 1)))) + 1 / PHASE_1_SUMMARY.N * (SUM((1 - W_H) * PHASE_1_SUMMARY.N_H * (((COALESCE(YSUM_HD_SQR, 0) / PHASE_1_SUMMARY.N_H) - ((COALESCE(YSUM_HD, 0) / PHASE_1_SUMMARY.N_H) * (COALESCE(YSUM_HD, 0) / PHASE_1_SUMMARY.N_H))) / (PHASE_1_SUMMARY.N_H - 1))))) VAR_OF_ESTIMATE, TOTAL_AREA TOT_POP_AREA_ACRES, GRP_BY_ATTRIB FROM (SELECT PEV.CN EVAL_CN, PEG.EVAL_GRP, PEG.EVAL_GRP_DESCR, PEG.CN POP_EVAL_GRP_CN, POP_STRATUM.ESTN_UNIT_CN, POP_STRATUM.EXPNS, POP_STRATUM.CN POP_STRATUM_CN, P1POINTCNT / (SELECT SUM(STR.P1POINTCNT) FROM &FIADB_SCHEMA.POP_STRATUM STR WHERE STR.ESTN_UNIT_CN = POP_STRATUM.ESTN_UNIT_CN) W_H, (SELECT SUM(STR.P1POINTCNT) FROM &FIADB_SCHEMA.POP_STRATUM STR WHERE STR.ESTN_UNIT_CN = POP_STRATUM.ESTN_UNIT_CN) N_PRIME, P1POINTCNT N_PRIME_H, (SELECT SUM(EU_S.AREA_USED) FROM &FIADB_SCHEMA.POP_ESTN_UNIT EU_S WHERE EU_S.CN = POP_STRATUM.ESTN_UNIT_CN) TOTAL_AREA, (SELECT SUM(STR.P2POINTCNT) FROM &FIADB_SCHEMA.POP_STRATUM STR WHERE STR.ESTN_UNIT_CN = POP_STRATUM.ESTN_UNIT_CN) N, POP_STRATUM.P2POINTCNT N_H FROM &FIADB_SCHEMA.POP_EVAL_GRP PEG JOIN &FIADB_SCHEMA.POP_EVAL_TYP PET ON (PET.EVAL_GRP_CN = PEG.CN) JOIN &FIADB_SCHEMA.POP_EVAL PEV ON (PEV.CN = PET.EVAL_CN) JOIN &FIADB_SCHEMA.POP_ESTN_UNIT PEU ON (PEV.CN = PEU.EVAL_CN) JOIN &FIADB_SCHEMA.POP_STRATUM POP_STRATUM ON (PEU.CN = POP_STRATUM.ESTN_UNIT_CN) WHERE PEG.EVAL_GRP IN (&EVAL_GRP) AND PET.EVAL_TYP = 'EXPCURR') PHASE_1_SUMMARY LEFT OUTER JOIN (SELECT POP_STRATUM_CN,ESTN_UNIT_CN,EVAL_CN, SUM(Y_HID_ADJUSTED) YSUM_HD, SUM(Y_HID_ADJUSTED * Y_HID_ADJUSTED) YSUM_HD_SQR, COUNT(*) NUMBER_PLOTS_IN_DOMAIN, SUM(CASE WHEN Y_HID_ADJUSTED IS NULL THEN 0 WHEN Y_HID_ADJUSTED = 0 THEN 0 ELSE 1 END) NON_ZERO_PLOTS, GRP_BY_ATTRIB FROM (SELECT 2 ATTRIBUTE_NBR, SUM(COND.CONDPROP_UNADJ * CASE COND.PROP_BASIS WHEN 'MACR' THEN POP_STRATUM.ADJ_FACTOR_MACR ELSE POP_STRATUM.ADJ_FACTOR_SUBP END) AS Y_HID_ADJUSTED, PEU.CN ESTN_UNIT_CN, PEV.CN EVAL_CN, POP_STRATUM.CN POP_STRATUM_CN, PLOT.CN PLT_CN, &GRP_BY_ATTRIB GRP_BY_ATTRIB FROM &FIADB_SCHEMA.POP_EVAL_GRP PEG JOIN &FIADB_SCHEMA.POP_EVAL_TYP PET ON (PET.EVAL_GRP_CN = PEG.CN) JOIN &FIADB_SCHEMA.POP_EVAL PEV ON (PEV.CN = PET.EVAL_CN) JOIN &FIADB_SCHEMA.POP_ESTN_UNIT PEU ON (PEV.CN = PEU.EVAL_CN) JOIN &FIADB_SCHEMA.POP_STRATUM POP_STRATUM ON (PEU.CN = POP_STRATUM.ESTN_UNIT_CN) JOIN &FIADB_SCHEMA.POP_PLOT_STRATUM_ASSGN POP_PLOT_STRATUM_ASSGN ON (POP_PLOT_STRATUM_ASSGN.STRATUM_CN = POP_STRATUM.CN) JOIN &FIADB_SCHEMA.PLOT ON (POP_PLOT_STRATUM_ASSGN.PLT_CN = PLOT.CN) JOIN &FIADB_SCHEMA.PLOTGEOM ON (PLOT.CN = PLOTGEOM.CN) JOIN &FIADB_SCHEMA.COND ON (COND.PLT_CN = PLOT.CN) &JOINS WHERE COND.COND_STATUS_CD = 1 AND COND.CONDPROP_UNADJ IS NOT NULL AND PET.EVAL_TYP = 'EXPCURR' AND PEG.EVAL_GRP IN (&EVAL_GRP)  AND  1 = 1 &FILTER GROUP BY PEU.CN, PEV.CN, POP_STRATUM.CN, PLOT.CN, &GRP_BY_ATTRIB) PLOT_SUMMARY GROUP BY POP_STRATUM_CN, ESTN_UNIT_CN, EVAL_CN, GRP_BY_ATTRIB) PHASE_SUMMARY ON (PHASE_1_SUMMARY.POP_STRATUM_CN = PHASE_SUMMARY.POP_STRATUM_CN AND PHASE_1_SUMMARY.EVAL_CN = PHASE_SUMMARY.EVAL_CN AND PHASE_1_SUMMARY.ESTN_UNIT_CN = PHASE_SUMMARY.ESTN_UNIT_CN) GROUP BY PHASE_1_SUMMARY.POP_EVAL_GRP_CN, PHASE_1_SUMMARY.EVAL_GRP, PHASE_1_SUMMARY.EVAL_GRP_DESCR, PHASE_1_SUMMARY.ESTN_UNIT_CN, PHASE_1_SUMMARY.TOTAL_AREA, PHASE_1_SUMMARY.N, GRP_BY_ATTRIB) ESTIMATE_BY_ESTN_UNIT WHERE NON_ZERO_PLOTS IS NOT NULL GROUP BY POP_EVAL_GRP_CN, EVAL_GRP, EVAL_GRP_DESCR, COALESCE(CAST(GRP_BY_ATTRIB AS VARCHAR(4000)), 'Not available')",2013-09-25 09:25:13,2023-06-08 11:50:27
3.0,"Area of timberland, in acres",EXPCURR,,"SELECT 3 ATTRIBUTE_NBR, 'Area of timberland, in acres' ATTRIBUTE_DESCR, SUM((COND.CONDPROP_UNADJ * CASE COND.PROP_BASIS WHEN 'MACR' THEN POP_STRATUM.ADJ_FACTOR_MACR ELSE POP_STRATUM.ADJ_FACTOR_SUBP END) * POP_STRATUM.EXPNS) AS ESTIMATED_VALUE FROM &FIADB_SCHEMA.POP_EVAL_GRP PEG JOIN &FIADB_SCHEMA.POP_EVAL_TYP PET ON (PET.EVAL_GRP_CN = PEG.CN) JOIN &FIADB_SCHEMA.POP_EVAL PEV ON (PEV.CN = PET.EVAL_CN) JOIN &FIADB_SCHEMA.POP_ESTN_UNIT PEU ON (PEV.CN = PEU.EVAL_CN) JOIN &FIADB_SCHEMA.POP_STRATUM POP_STRATUM ON (PEU.CN = POP_STRATUM.ESTN_UNIT_CN) JOIN &FIADB_SCHEMA.POP_PLOT_STRATUM_ASSGN POP_PLOT_STRATUM_ASSGN ON (POP_PLOT_STRATUM_ASSGN.STRATUM_CN = POP_STRATUM.CN) JOIN &FIADB_SCHEMA.PLOT ON (POP_PLOT_STRATUM_ASSGN.PLT_CN = PLOT.CN) JOIN &FIADB_SCHEMA.PLOTGEOM ON (PLOT.CN = PLOTGEOM.CN) JOIN &FIADB_SCHEMA.COND ON (COND.PLT_CN = PLOT.CN) WHERE COND.RESERVCD = 0 AND COND.SITECLCD IN (1, 2, 3, 4, 5, 6) AND COND.COND_STATUS_CD = 1 AND COND.CONDPROP_UNADJ IS NOT NULL AND PET.EVAL_TYP = 'EXPCURR' AND PEG.EVAL_GRP = &EVAL_GRP  AND  1=1",Y,,Timberland,"SELECT EVAL_GRP, EVAL_GRP_DESCR,3 ATTRIBUTE_NBR,'Area of timberland, in acres' ATTRIBUTE_DESCR,  COALESCE(CAST(GRP_BY_ATTRIB AS VARCHAR(4000)), 'Not available') GROUP_BY_FIELD, SUM(ESTIMATE_BY_ESTN_UNIT.ESTIMATE) ESTIMATE, CASE WHEN SUM(ESTIMATE_BY_ESTN_UNIT.ESTIMATE) <> 0 THEN ABS(SQRT(SUM(ESTIMATE_BY_ESTN_UNIT.VAR_OF_ESTIMATE)) / SUM(ESTIMATE_BY_ESTN_UNIT.ESTIMATE) * 100) ELSE 0 END AS SE_OF_ESTIMATE_PCT, SQRT(SUM(ESTIMATE_BY_ESTN_UNIT.VAR_OF_ESTIMATE)) SE_OF_ESTIMATE, SUM(ESTIMATE_BY_ESTN_UNIT.VAR_OF_ESTIMATE) VAR_OF_ESTIMATE, SUM(ESTIMATE_BY_ESTN_UNIT.TOTAL_PLOTS) TOTAL_PLOTS, SUM(ESTIMATE_BY_ESTN_UNIT.NON_ZERO_PLOTS) NON_ZERO_PLOTS, SUM(ESTIMATE_BY_ESTN_UNIT.TOT_POP_AREA_ACRES) TOT_POP_AC, Q'[&FILTER]' FILTER, '&JOINS' JOINS FROM (SELECT POP_EVAL_GRP_CN, EVAL_GRP, EVAL_GRP_DESCR, SUM(COALESCE(YSUM_HD, 0) * PHASE_1_SUMMARY.EXPNS) ESTIMATE, PHASE_1_SUMMARY.N TOTAL_PLOTS, SUM(PHASE_SUMMARY.NUMBER_PLOTS_IN_DOMAIN) DOMAIN_PLOTS, SUM(PHASE_SUMMARY.NON_ZERO_PLOTS) NON_ZERO_PLOTS, TOTAL_AREA * TOTAL_AREA / PHASE_1_SUMMARY.N * ((SUM(W_H * PHASE_1_SUMMARY.N_H * (((COALESCE(YSUM_HD_SQR, 0) / PHASE_1_SUMMARY.N_H) - ((COALESCE(YSUM_HD, 0) / PHASE_1_SUMMARY.N_H) * (COALESCE(YSUM_HD, 0) / PHASE_1_SUMMARY.N_H))) / (PHASE_1_SUMMARY.N_H - 1)))) + 1 / PHASE_1_SUMMARY.N * (SUM((1 - W_H) * PHASE_1_SUMMARY.N_H * (((COALESCE(YSUM_HD_SQR, 0) / PHASE_1_SUMMARY.N_H) - ((COALESCE(YSUM_HD, 0) / PHASE_1_SUMMARY.N_H) * (COALESCE(YSUM_HD, 0) / PHASE_1_SUMMARY.N_H))) / (PHASE_1_SUMMARY.N_H - 1))))) VAR_OF_ESTIMATE, TOTAL_AREA TOT_POP_AREA_ACRES, GRP_BY_ATTRIB FROM (SELECT PEV.CN EVAL_CN, PEG.EVAL_GRP, PEG.EVAL_GRP_DESCR, PEG.CN POP_EVAL_GRP_CN, POP_STRATUM.ESTN_UNIT_CN, POP_STRATUM.EXPNS, POP_STRATUM.CN POP_STRATUM_CN, P1POINTCNT / (SELECT SUM(STR.P1POINTCNT) FROM &FIADB_SCHEMA.POP_STRATUM STR WHERE STR.ESTN_UNIT_CN = POP_STRATUM.ESTN_UNIT_CN) W_H, (SELECT SUM(STR.P1POINTCNT) FROM &FIADB_SCHEMA.POP_STRATUM STR WHERE STR.ESTN_UNIT_CN = POP_STRATUM.ESTN_UNIT_CN) N_PRIME, P1POINTCNT N_PRIME_H, (SELECT SUM(EU_S.AREA_USED) FROM &FIADB_SCHEMA.POP_ESTN_UNIT EU_S WHERE EU_S.CN = POP_STRATUM.ESTN_UNIT_CN) TOTAL_AREA, (SELECT SUM(STR.P2POINTCNT) FROM &FIADB_SCHEMA.POP_STRATUM STR WHERE STR.ESTN_UNIT_CN = POP_STRATUM.ESTN_UNIT_CN) N, POP_STRATUM.P2POINTCNT N_H FROM &FIADB_SCHEMA.POP_EVAL_GRP PEG JOIN &FIADB_SCHEMA.POP_EVAL_TYP PET ON (PET.EVAL_GRP_CN = PEG.CN) JOIN &FIADB_SCHEMA.POP_EVAL PEV ON (PEV.CN = PET.EVAL_CN) JOIN &FIADB_SCHEMA.POP_ESTN_UNIT PEU ON (PEV.CN = PEU.EVAL_CN) JOIN &FIADB_SCHEMA.POP_STRATUM POP_STRATUM ON (PEU.CN = POP_STRATUM.ESTN_UNIT_CN) WHERE PEG.EVAL_GRP IN (&EVAL_GRP) AND PET.EVAL_TYP = 'EXPCURR') PHASE_1_SUMMARY LEFT OUTER JOIN (SELECT POP_STRATUM_CN,ESTN_UNIT_CN,EVAL_CN, SUM(Y_HID_ADJUSTED) YSUM_HD, SUM(Y_HID_ADJUSTED * Y_HID_ADJUSTED) YSUM_HD_SQR, COUNT(*) NUMBER_PLOTS_IN_DOMAIN, SUM(CASE WHEN Y_HID_ADJUSTED IS NULL THEN 0 WHEN Y_HID_ADJUSTED = 0 THEN 0 ELSE 1 END) NON_ZERO_PLOTS, GRP_BY_ATTRIB FROM (SELECT 3 ATTRIBUTE_NBR, SUM(COND.CONDPROP_UNADJ * CASE COND.PROP_BASIS WHEN 'MACR' THEN POP_STRATUM.ADJ_FACTOR_MACR ELSE POP_STRATUM.ADJ_FACTOR_SUBP END) AS Y_HID_ADJUSTED, PEU.CN ESTN_UNIT_CN, PEV.CN EVAL_CN, POP_STRATUM.CN POP_STRATUM_CN, PLOT.CN PLT_CN, &GRP_BY_ATTRIB GRP_BY_ATTRIB FROM &FIADB_SCHEMA.POP_EVAL_GRP PEG JOIN &FIADB_SCHEMA.POP_EVAL_TYP PET ON (PET.EVAL_GRP_CN = PEG.CN) JOIN &FIADB_SCHEMA.POP_EVAL PEV ON (PEV.CN = PET.EVAL_CN) JOIN &FIADB_SCHEMA.POP_ESTN_UNIT PEU ON (PEV.CN = PEU.EVAL_CN) JOIN &FIADB_SCHEMA.POP_STRATUM POP_STRATUM ON (PEU.CN = POP_STRATUM.ESTN_UNIT_CN) JOIN &FIADB_SCHEMA.POP_PLOT_STRATUM_ASSGN POP_PLOT_STRATUM_ASSGN ON (POP_PLOT_STRATUM_ASSGN.STRATUM_CN = POP_STRATUM.CN) JOIN &FIADB_SCHEMA.PLOT ON (POP_PLOT_STRATUM_ASSGN.PLT_CN = PLOT.CN) JOIN &FIADB_SCHEMA.PLOTGEOM ON (PLOT.CN = PLOTGEOM.CN) JOIN &FIADB_SCHEMA.COND ON (COND.PLT_CN = PLOT.CN) &JOINS WHERE COND.RESERVCD = 0 AND COND.SITECLCD IN (1, 2, 3, 4, 5, 6) AND COND.COND_STATUS_CD = 1 AND COND.CONDPROP_UNADJ IS NOT NULL AND PET.EVAL_TYP = 'EXPCURR' AND PEG.EVAL_GRP IN (&EVAL_GRP)  AND  1 = 1 &FILTER GROUP BY PEU.CN, PEV.CN, POP_STRATUM.CN, PLOT.CN, &GRP_BY_ATTRIB) PLOT_SUMMARY GROUP BY POP_STRATUM_CN, ESTN_UNIT_CN, EVAL_CN, GRP_BY_ATTRIB) PHASE_SUMMARY ON (PHASE_1_SUMMARY.POP_STRATUM_CN = PHASE_SUMMARY.POP_STRATUM_CN AND PHASE_1_SUMMARY.EVAL_CN = PHASE_SUMMARY.EVAL_CN AND PHASE_1_SUMMARY.ESTN_UNIT_CN = PHASE_SUMMARY.ESTN_UNIT_CN) GROUP BY PHASE_1_SUMMARY.POP_EVAL_GRP_CN, PHASE_1_SUMMARY.EVAL_GRP, PHASE_1_SUMMARY.EVAL_GRP_DESCR, PHASE_1_SUMMARY.ESTN_UNIT_CN, PHASE_1_SUMMARY.TOTAL_AREA, PHASE_1_SUMMARY.N, GRP_BY_ATTRIB) ESTIMATE_BY_ESTN_UNIT WHERE NON_ZERO_PLOTS IS NOT NULL GROUP BY POP_EVAL_GRP_CN, EVAL_GRP, EVAL_GRP_DESCR, COALESCE(CAST(GRP_BY_ATTRIB AS VARCHAR(4000)), 'Not available')",2013-09-25 09:25:13,2023-06-08 11:50:27
